Year	Province	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	28036.501825801795	27950.10487409211	29238.457122068794	27898.88932536201	30322.867788434287	30663.678614310647	31747.900614246028	31410.870580077288
2006	Isole	4190.068275284122	4159.025458774838	4839.378573209805	4146.348327232165	4205.968377332347	4730.58972753225	3994.109504022389	3745.4541269197885
2006	Nord-est	12502.435210078249	12373.556354311937	12986.867424413547	12552.472719261152	12074.965070278848	12989.211418289762	13505.818968712334	12676.132130957189
2006	Nord-ovest	38179.70728674357	37560.95338234827	38540.30665200535	37613.05473777852	38146.88299133323	38538.37519621606	38760.30206410077	38080.69901274403
2006	Sud	4750.226505667064	4737.569584983122	5641.333981909675	4748.7256576944155	4623.690628879918	4496.346055314169	5608.101182694478	5130.53246874794
2007	Centro	30070.6491992718	30036.601326486372	31389.166197611783	29980.366537424416	32219.066670686636	32421.479199822745	33025.53042463005	33051.80429956995
2007	Isole	4373.258017923535	4386.0881400230655	4497.558117994064	4370.9998641543825	4246.190152265321	4720.544738962395	4398.6885877609	4035.7466601033934
2007	Nord-est	13580.39566098531	13539.87079404558	14645.060904612797	13721.539839945804	13518.107935231897	14249.019056900923	14097.184908504938	13910.315787616331
2007	Nord-ovest	41991.7481740377	41790.842897899565	42860.40882016881	41853.078904883325	42395.30242791565	42572.161110003646	42493.0059955863	42445.79159791632
2007	Sud	5127.194993410594	5116.632314685663	5852.812738412642	5131.26920121014	4878.415348595619	4792.983524548833	5543.008327644087	5947.8244855167595
2008	Centro	38408.42973998122	37458.87797319668	37571.539823095045	37368.9016228108	38164.66032220007	37770.44325104972	36848.377125779036	37220.32829432978
2008	Isole	4518.327351690005	4538.5600922578815	4851.232876592741	4523.062684601528	4489.2291075657295	5058.403769117143	4584.344412340641	4413.927196194988
2008	Nord-est	14456.106164816487	14455.868569347735	15068.61741305056	14636.44315473345	15221.740686995226	15173.023796386655	15405.848132144905	15427.220571344982
2008	Nord-ovest	44503.459558665934	44531.80359769469	45051.76592774834	44567.54889785379	44871.23326752057	44788.27602247297	45035.51158799764	45017.66031039855
2008	Sud	5654.527316152948	5625.262119104655	6552.392370612641	5636.566807149087	4915.092604601243	4848.412194741102	5293.465213503709	5159.041536110383
2009	Centro	39764.88095571005	39930.35963075095	40708.29587941096	39827.993027205026	39974.435724793126	40257.66099202217	40312.53587500316	40887.95597410563
2009	Isole	4819.055021687653	4817.586198565665	5291.739935706651	4804.392542436593	4758.5508559963455	5443.456917479614	4542.24407168277	5064.357239977356
2009	Nord-est	15452.531296745312	15442.749770705586	15279.846088324673	15615.228316757968	15631.590708169335	15942.882202196275	15904.75142120031	17104.872979293166
2009	Nord-ovest	46208.288955483586	46380.28329187348	46706.54641101583	46403.784509469544	46450.42802207188	46002.80863907055	46211.60521347619	47252.637204620034
2009	Sud	5922.429078510007	5936.675396122543	6377.382644473315	5951.0088534728275	6008.099391326514	5846.543398803924	5955.112040571288	6358.810343119969
2010	Centro	42232.11852998652	42245.80022788781	41972.1962385523	42146.74911819664	42429.62227425341	42578.17716610184	42928.127408183704	43212.72443436536
2010	Isole	5227.7905168253	5213.173379811514	5121.962477929897	5207.719639430636	5693.494096484958	6308.960548715497	5700.73638226274	6384.486353643884
2010	Nord-est	17642.33700644649	17465.071614195993	17197.95304012971	17612.601243224242	17665.941798493925	17709.692246062816	17351.422137515896	18352.71103268432
2010	Nord-ovest	49029.199212081236	49051.93706042678	49107.69753103153	49045.45574905016	47870.24181127699	47646.24707690388	47958.050108438816	48328.7212575657
2010	Sud	6576.829430828831	6536.309742633734	6693.257720412032	6560.922585848598	6849.579619135227	6522.147151100615	6623.438791296981	6690.23970513348
2011	Centro	45469.17658344711	45392.23558021942	44696.5130798232	45280.13053985139	44960.412925688404	45225.54838910336	45801.15990851326	45834.99833422184
2011	Isole	5757.240640060595	5728.621662443652	5351.916647731078	5718.650024736265	6533.698945622108	6626.144041235451	5966.646363085459	5915.461189428297
2011	Nord-est	19450.938627418258	19351.116140011934	19055.934985349897	19495.209639729113	18765.64647953558	18959.189351057692	18976.816704087534	19069.459740385668
2011	Nord-ovest	53171.61697627418	53025.28501422216	51335.04977561755	53020.340067896344	51995.44220503738	51697.474458608376	51996.43586109182	52168.493264057266
2011	Sud	7386.888119378832	7329.529123107203	6719.823063611437	7350.258725108553	7729.040753811194	7249.762801033097	7322.244622789392	7503.097706612823
2012	Centro	49387.10749538829	49240.085027572044	48710.93258796653	49112.347059149506	48018.78373299648	48028.03589783127	47462.70505636679	46947.449364688626
2012	Isole	6214.685546535889	6201.800333695303	6199.614846184093	6188.145696584128	7051.362469976601	7001.582851311916	6470.236013206641	6248.125417717183
2012	Nord-est	20918.574369026494	20886.587751080246	20508.834419277453	21037.71984876377	21098.537096821667	20571.259766123476	20607.160082517592	20074.64081995347
2012	Nord-ovest	57935.60918514536	57736.63348237057	55878.40777541482	57723.0197809637	55844.86687761011	55455.782050356625	55060.18042202699	54267.82581724116
2012	Sud	7995.755761099421	7975.969499836054	7440.791417122284	7994.714573508032	8012.846058192754	7913.809693195405	7251.674742763851	6986.029452823226
2013	Centro	47043.761249948875	47862.78131244527	48201.25571293967	47771.507662844684	47855.27248333639	48325.27863969026	47920.31437112464	47602.09966269218
2013	Isole	6398.934189421772	6430.9349796383485	6287.422696615486	6422.681242124998	7481.611431494688	7411.323980031661	6851.615497366021	6461.0618486150115
2013	Nord-est	20124.39918417355	20441.883354519814	20978.92243698379	20610.985322200693	21473.17871941155	20778.68902173752	20040.386384586007	19551.74567426992
2013	Nord-ovest	55878.166006253006	56736.38943694103	56476.06511946028	56773.9272562201	56917.562280802544	56831.77626003067	56655.46849623721	56594.349686230205
2013	Sud	7732.089599728244	7847.525551633171	7468.4809505411085	7888.091130643315	9414.879142817732	8669.56836672853	8156.663595596237	7759.067648306189
2014	Centro	52162.48504138771	51852.39866990981	50940.86100906183	51723.3512667409	50585.34050336447	50732.89425231713	48345.05338144799	47200.62206076928
2014	Isole	6785.432779383537	6789.195796447416	6862.204217678378	6775.540158538013	7748.793947399276	7799.767059218022	6902.539881920016	6189.15004812043
2014	Nord-est	21866.290089617672	21800.056444969036	22209.390840812564	21934.058564533356	21294.97747414864	21213.130876813364	18903.716591575838	17475.991878790257
2014	Nord-ovest	59287.8247998883	59315.55457637136	59929.88008466363	59308.17272539665	58008.19652545681	57592.82234445433	54477.95212392228	52950.44102053448
2014	Sud	8392.843353525892	8368.657026313798	7768.959874947954	8401.431844827619	9936.508925156824	9445.71767420333	7910.79320007515	7006.201913971631
2015	Centro	66563.52839338772	64925.60108281838	62829.03994294098	64724.64580311179	60673.467486667425	60295.16155427393	56124.290916623315	52925.28679713592
2015	Isole	7380.534717900008	7357.048407989538	7111.501384805902	7340.429488264065	9924.030785860643	10114.600632405261	9421.788075485842	8788.312370502794
2015	Nord-est	23813.607642877087	23733.534881836735	23686.305552979364	23844.640230218156	33346.21184460498	33173.3097697127	32723.005790311036	33395.85900146078
2015	Nord-ovest	65383.913518819485	65045.75558524122	63775.99391546552	64986.4534390104	68344.12109693504	69032.78017779856	67147.33192253967	66041.72267766239
2015	Sud	9572.458228094129	9477.624867596965	7900.267901456964	9507.296442098035	19495.011150814025	19063.58717271848	16913.2407874714	17234.694598166985
2016	Centro	64753.86787216949	65657.70664284368	65705.93804560267	65379.525439966834	58676.997830904846	60131.112320756	59847.019353759606	52105.98388448025
2016	Isole	7975.63665641648	7957.83140192117	7162.884269346102	7932.928932410843	10361.070629445952	10557.665238824971	9914.189909742827	8719.440730717364
2016	Nord-est	24159.86802347297	24335.84565138056	24015.94951802789	24394.756410401693	32276.803018349197	32542.31603161863	32806.75129624961	31429.997727996695
2016	Nord-ovest	71664.25088063655	71356.96156964764	69936.65501527359	71192.32106254529	70891.65978667063	71770.67397373923	70520.06114848731	65782.72678540743
2016	Sud	10058.49344122413	10077.789288733258	8123.434056631841	10089.726346554815	19496.724725079323	19340.878570965062	17750.01852346997	17137.670394851233
